Fecha,Referencia,Descripción,Débito,Crédito,Saldo,Tipo
"28/02/2018","0591289273975","COMISION TRANSF INTERBANC","27","0"," 0000000000337463.99","NOTA DE DEBITO"
"28/02/2018","0426089273975","TRANSF OTROS BCOS CLAVENE","150000","0"," 0000000000187463.99","NOTA DE DEBITO"
"01/03/2018","0120200000426","COM MANTENIMIENTO DE CUEN","50","0"," 0000000000187413.99","NOTA DE DEBITO"
"06/03/2018","0425100017237","TRANSFERENCIAS RECIBIDAS","0","2000000"," 0000000002187413.99","NOTA DE CREDITO"
"08/03/2018","0590531220785","CARGO TRASPASO OTRAS CTAS","795000","0"," 0000000001392413.99","NOTA DE DEBITO"
"11/03/2018","9802428506453","COMPRA CON TARJETA DE DEB","100000","0"," 0000000001292413.99","NOTA DE DEBITO"
"14/03/2018","0590569780129","ABO.TRASP.A OTRAS CTAS CL","0","500000"," 0000000001792413.99","NOTA DE CREDITO"
"15/03/2018","0590570612154","CARGO TRASPASO OTRAS CTAS","900000","0"," 0000000000892413.99","NOTA DE DEBITO"
"15/03/2018","0425100016146","TRANSFERENCIAS RECIBIDAS","0","400000"," 0000000001292413.99","NOTA DE CREDITO"
"15/03/2018","0591275065873","COMISION TRANSF INTERBANC","27","0"," 0000000001292386.99","NOTA DE DEBITO"
"15/03/2018","0426075065873","TRANSF OTROS BCOS CLAVENE","850000","0"," 0000000000442386.99","NOTA DE DEBITO"
"17/03/2018","0590585320299","CARGO TRASPASO OTRAS CTAS","67000","0"," 0000000000375386.99","NOTA DE DEBITO"
"19/03/2018","0590592069620","ABO.TRASP.A OTRAS CTAS CL","0","3500000"," 0000000003875386.99","NOTA DE CREDITO"
"19/03/2018","0590592072986","CARGO TRASPASO OTRAS CTAS","3500000","0"," 0000000000375386.99","NOTA DE DEBITO"
"19/03/2018","9802428506453","COMPRA CON TARJETA DE DEB","295000","0"," 0000000000080386.99","NOTA DE DEBITO"
"19/03/2018","0590597553047","ABO.TRASP.A OTRAS CTAS CL","0","300000"," 0000000000380386.99","NOTA DE CREDITO"
"20/03/2018","0590598075320","CARGO TRASPASO OTRAS CTAS","40000","0"," 0000000000340386.99","NOTA DE DEBITO"
"21/03/2018","0425100022215","TRANSFERENCIAS RECIBIDAS","0","1000000"," 0000000001340386.99","NOTA DE CREDITO"
"21/03/2018","0425100025978","TRANSFERENCIAS RECIBIDAS","0","4000000"," 0000000005340386.99","NOTA DE CREDITO"
"22/03/2018","0590510855714","CARGO TRASPASO OTRAS CTAS","16000","0"," 0000000005324386.99","NOTA DE DEBITO"
"24/03/2018","9802428506453","COMPRA CON TARJETA DE DEB","520000","0"," 0000000004804386.99","NOTA DE DEBITO"
"25/03/2018","0590529478800","CARGO TRASPASO OTRAS CTAS","600000","0"," 0000000004204386.99","NOTA DE DEBITO"
"25/03/2018","9570328506453","COMPRA CON TARJETA DE DEB","347000","0"," 0000000003857386.99","NOTA DE DEBITO"
"27/03/2018","9570328506453","COMPRA CON TARJETA DE DEB","2630500","0"," 0000000001226886.99","NOTA DE DEBITO"
"29/03/2018","0672869532601","PAGO CANTV","14110.71","0"," 0000000001212776.28","NOTA DE DEBITO"
"01/04/2018","0120200000449","COM MANTENIMIENTO DE CUEN","50","0"," 0000000001212726.28","NOTA DE DEBITO"
"05/04/2018","0590589308188","CARGO TRASPASO OTRAS CTAS","45000","0"," 0000000001167726.28","NOTA DE DEBITO"
"13/04/2018","9570328506453","COMPRA CON TARJETA DE DEB","120000","0"," 0000000001047726.28","NOTA DE DEBITO"
"13/04/2018","9570328506453","COMPRA CON TARJETA DE DEB","300000","0"," 0000000000747726.28","NOTA DE DEBITO"
"13/04/2018","9570328506453","COMPRA CON TARJETA DE DEB","300000","0"," 0000000000447726.28","NOTA DE DEBITO"
"14/04/2018","0050700570300","REVERSO OPERACION MAESTRO","0","300000"," 0000000000747726.28","NOTA DE CREDITO"
"22/04/2018","0590588714647","ABO.TRASP.A OTRAS CTAS CL","0","1000000"," 0000000001747726.28","NOTA DE CREDITO"
"22/04/2018","0590588736013","CARGO TRASPASO OTRAS CTAS","1400000","0"," 0000000000347726.28","NOTA DE DEBITO"
"25/04/2018","0590501680746","CARGO TRASPASO OTRAS CTAS","100000","0"," 0000000000247726.28","NOTA DE DEBITO"
"25/04/2018","0590501688138","CARGO TRASPASO OTRAS CTAS","160000","0"," 0000000000087726.28","NOTA DE DEBITO"
"25/04/2018","0590503724694","ABO.TRASP.A OTRAS CTAS CL","0","1000000"," 0000000001087726.28","NOTA DE CREDITO"
"01/05/2018","0120200000460","COM MANTENIMIENTO DE CUEN","50","0"," 0000000001087676.28","NOTA DE DEBITO"
"05/05/2018","0590560486171","ABO.TRASP.A OTRAS CTAS CL","0","18000000"," 0000000019087676.28","NOTA DE CREDITO"
"06/05/2018","0591268673890","COMISION TRANSF INTERBANC","27","0"," 0000000019087649.28","NOTA DE DEBITO"
"06/05/2018","0426068673890","TRANSF OTROS BCOS CLAVENE","500000","0"," 0000000018587649.28","NOTA DE DEBITO"
"07/05/2018","0425100851527","TRANSFERENCIAS RECIBIDAS","0","1000000"," 0000000019587649.28","NOTA DE CREDITO"
"08/05/2018","0425100129459","TRANSFERENCIAS RECIBIDAS","0","500000"," 0000000020087649.28","NOTA DE CREDITO"
"09/05/2018","9570328506453","COMPRA CON TARJETA DE DEB","200000","0"," 0000000019887649.28","NOTA DE DEBITO"
"10/05/2018","0590586783282","CARGO TRASPASO OTRAS CTAS","16240000","0"," 0000000003647649.28","NOTA DE DEBITO"
"11/05/2018","9570328506453","COMPRA CON TARJETA DE DEB","474795","0"," 0000000003172854.28","NOTA DE DEBITO"
"11/05/2018","9570328506453","COMPRA CON TARJETA DE DEB","1916320","0"," 0000000001256534.28","NOTA DE DEBITO"
"01/06/2018","0120200000470","COM MANTENIMIENTO DE CUEN","500","0"," 0000000001256034.28","NOTA DE DEBITO"
"06/06/2018","0590546335463","ABO.TRASP.A OTRAS CTAS CL","0","2000000"," 0000000003256034.28","NOTA DE CREDITO"
"06/06/2018","0590546515244","CARGO TRASPASO OTRAS CTAS","280000","0"," 0000000002976034.28","NOTA DE DEBITO"
"06/06/2018","0590546554559","CARGO TRASPASO OTRAS CTAS","220000","0"," 0000000002756034.28","NOTA DE DEBITO"
"06/06/2018","0591246565116","COMISION TRANSF INTERBANC","27","0"," 0000000002756007.28","NOTA DE DEBITO"
"06/06/2018","0426046565116","TRANSF OTROS BCOS CLAVENE","180000","0"," 0000000002576007.28","NOTA DE DEBITO"
"07/06/2018","0426346565116","REINT RECHZ TRANSF OT BCO","0","180000"," 0000000002756007.28","NOTA DE CREDITO"
"08/06/2018","0591260132155","COMISION TRANSF INTERBANC","27","0"," 0000000002755980.28","NOTA DE DEBITO"
"08/06/2018","0426060132155","TRANSF OTROS BCOS CLAVENE","1300000","0"," 0000000001455980.28","NOTA DE DEBITO"
"08/06/2018","9570328506453","COMPRA CON TARJETA DE DEB","780000","0"," 0000000000675980.28","NOTA DE DEBITO"
"10/06/2018","0590572950296","ABO.TRASP.A OTRAS CTAS CL","0","2000000"," 0000000002675980.28","NOTA DE CREDITO"
